Episode 245, Goal reached at timestep: 352, States explored: 70, Total reward: -68.38902998792342
Episode 246, Goal reached at timestep: 2986, States explored: 70, Total reward: -605.1732290516736
Episode 247, Goal reached at timestep: 43, States explored: 70, Total reward: -10.738600461207565
Episode 248, Goal reached at timestep: 1796, States explored: 70, Total reward: -355.66263083270155
Episode 249, Goal reached at timestep: 151, States explored: 70, Total reward: -47.799091724200714
Episode 250, Goal reached at timestep: 536, States explored: 70, Total reward: -100.6789965752657
Episode 251, Goal reached at timestep: 185, States explored: 70, Total reward: -57.460207670651066
Episode 252, Goal reached at timestep: 193, States explored: 70, Total reward: -47.11081527129352
Episode 253, Goal reached at timestep: 2565, States explored: 70, Total reward: -412.3368790502955
Episode 254, Goal reached at timestep: 199, States explored: 70, Total reward: -52.752552474307834
Episode 255, Goal reached at timestep: 243, States explored: 70, Total reward: -61.195201091587236
Episode 256, Goal reached at timestep: 212, States explored: 70, Total reward: -47.635056939641736
Episode 257, Goal reached at timestep: 196, States explored: 70, Total reward: -53.07428994797244
Episode 258, Goal reached at timestep: 995, States explored: 70, Total reward: -199.07737368013807
Episode 259, Goal reached at timestep: 237, States explored: 70, Total reward: -42.878600219018104
Episode 260, Goal reached at timestep: 320, States explored: 70, Total reward: -55.025874066479105
Episode 261, Goal reached at timestep: 61, States explored: 70, Total reward: -13.384392163446229
Episode 262, Goal reached at timestep: 139, States explored: 70, Total reward: -37.79559003413587
Episode 263, Goal reached at timestep: 673, States explored: 71, Total reward: -133.24315280660377
Episode 264, Goal reached at timestep: 255, States explored: 71, Total reward: -69.1937755266135
Episode 265, Goal reached at timestep: 279, States explored: 71, Total reward: -55.18110627742942
Episode 266, Goal reached at timestep: 312, States explored: 71, Total reward: -72.58324947876281
Episode 267, Goal reached at timestep: 126, States explored: 71, Total reward: -24.149330542885906
Episode 268, Goal reached at timestep: 203, States explored: 71, Total reward: -42.23708223871452
Episode 269, Goal reached at timestep: 376, States explored: 71, Total reward: -78.15831520495948
Episode 270, Goal reached at timestep: 289, States explored: 71, Total reward: -79.99511605076157
Episode 271, Goal reached at timestep: 266, States explored: 71, Total reward: -62.61859658002258
Episode 272, Goal reached at timestep: 1310, States explored: 71, Total reward: -246.49888721713282
Episode 273, Goal reached at timestep: 153, States explored: 71, Total reward: -34.92240689004259
Episode 274, Goal reached at timestep: 205, States explored: 71, Total reward: -36.669763171725464
Episode 275, Goal reached at timestep: 370, States explored: 72, Total reward: -131.58402492100848
Episode 276, Goal reached at timestep: 297, States explored: 72, Total reward: -57.648115751276805
Episode 277, Goal reached at timestep: 995, States explored: 72, Total reward: -189.57277117629857
Episode 278, Goal reached at timestep: 786, States explored: 72, Total reward: -167.06336173021722
Episode 279, Goal reached at timestep: 72, States explored: 72, Total reward: -20.07026123012525
Episode 280, Goal reached at timestep: 389, States explored: 72, Total reward: -72.33267808908815
Episode 281, Goal reached at timestep: 121, States explored: 72, Total reward: -25.115267519558127
Episode 282, Goal reached at timestep: 89, States explored: 72, Total reward: -18.500460379127926
Episode 283, Goal reached at timestep: 224, States explored: 72, Total reward: -44.146938824268645
Episode 284, Goal reached at timestep: 983, States explored: 72, Total reward: -179.26314496403495
Episode 285, Goal reached at timestep: 129, States explored: 72, Total reward: -33.38486500789187
Episode 286, Goal reached at timestep: 373, States explored: 72, Total reward: -82.00765996678426
Episode 287, Goal reached at timestep: 229, States explored: 72, Total reward: -43.979906789126076
Episode 288, Goal reached at timestep: 322, States explored: 72, Total reward: -76.81128162647798
Episode 289, Goal reached at timestep: 66, States explored: 72, Total reward: -17.45223509418919
Episode 290, Goal reached at timestep: 986, States explored: 72, Total reward: -173.4202479843087
Episode 291, Goal reached at timestep: 179, States explored: 72, Total reward: -57.24218217077582
Episode 292, Goal reached at timestep: 248, States explored: 72, Total reward: -51.79530080260608
Episode 293, Goal reached at timestep: 91, States explored: 72, Total reward: -17.845308006539113
Episode 294, Goal reached at timestep: 273, States explored: 72, Total reward: -47.1183638679039
Episode 295, Goal reached at timestep: 487, States explored: 72, Total reward: -145.87442086866932
Episode 296, Goal reached at timestep: 274, States explored: 72, Total reward: -58.12152217589302
Episode 297, Goal reached at timestep: 295, States explored: 72, Total reward: -62.61507768828759
Episode 298, Goal reached at timestep: 150, States explored: 72, Total reward: -30.334159802882038
Episode 299, Goal reached at timestep: 364, States explored: 72, Total reward: -67.36280776857983
Episode 300, Goal reached at timestep: 494, States explored: 72, Total reward: -125.55731047919122
Episode 301, Goal reached at timestep: 334, States explored: 72, Total reward: -83.34571522397127
Episode 302, Goal reached at timestep: 725, States explored: 72, Total reward: -120.0352626230094
Episode 303, Goal reached at timestep: 925, States explored: 72, Total reward: -205.16717658277253
Episode 304, Goal reached at timestep: 230, States explored: 72, Total reward: -55.209597521566515
Episode 305, Goal reached at timestep: 129, States explored: 72, Total reward: -23.00697150298224
Episode 306, Goal reached at timestep: 150, States explored: 72, Total reward: -33.27348209572476
Episode 307, Goal reached at timestep: 333, States explored: 72, Total reward: -90.69615001641799
Episode 308, Goal reached at timestep: 221, States explored: 72, Total reward: -49.89159127369313
Episode 309, Goal reached at timestep: 164, States explored: 72, Total reward: -32.42804423194204
Episode 310, Goal reached at timestep: 81, States explored: 72, Total reward: -16.71624642083118
Episode 311, Goal reached at timestep: 263, States explored: 72, Total reward: -56.208462984089
Episode 312, Goal reached at timestep: 298, States explored: 72, Total reward: -51.98848145910824
Episode 313, Goal reached at timestep: 119, States explored: 72, Total reward: -23.519700076090775
Episode 314, Goal reached at timestep: 197, States explored: 72, Total reward: -46.018509137127346
Episode 315, Goal reached at timestep: 344, States explored: 72, Total reward: -65.45158125330143
Episode 316, Goal reached at timestep: 116, States explored: 72, Total reward: -31.560232297126984
Episode 317, Goal reached at timestep: 417, States explored: 72, Total reward: -80.75145592788985
Episode 318, Goal reached at timestep: 309, States explored: 72, Total reward: -73.01394983692695
Episode 319, Goal reached at timestep: 311, States explored: 72, Total reward: -67.41512296551257
Episode 320, Goal reached at timestep: 543, States explored: 72, Total reward: -106.58958143235908
Episode 321, Goal reached at timestep: 448, States explored: 74, Total reward: -116.2614006503711
Episode 322, Goal reached at timestep: 110, States explored: 74, Total reward: -30.611458702445635
Episode 323, Goal reached at timestep: 248, States explored: 74, Total reward: -75.16077997323615
Episode 324, Goal reached at timestep: 245, States explored: 74, Total reward: -64.75684511168626
Episode 325, Goal reached at timestep: 332, States explored: 74, Total reward: -100.6039883037991
Episode 326, Goal reached at timestep: 203, States explored: 74, Total reward: -55.06763719458466
Episode 327, Goal reached at timestep: 216, States explored: 75, Total reward: -76.2270266435143
Episode 328, Goal reached at timestep: 307, States explored: 75, Total reward: -71.37151908330782
Episode 329, Goal reached at timestep: 330, States explored: 75, Total reward: -83.0928222147663
Episode 330, Goal reached at timestep: 707, States explored: 75, Total reward: -122.48635348263964
Episode 331, Goal reached at timestep: 330, States explored: 75, Total reward: -77.74709139066134
Episode 332, Goal reached at timestep: 196, States explored: 75, Total reward: -36.73271615353897
Episode 333, Goal reached at timestep: 375, States explored: 75, Total reward: -100.79217476249939
Episode 334, Goal reached at timestep: 215, States explored: 75, Total reward: -43.6376099426367
Episode 335, Goal reached at timestep: 857, States explored: 75, Total reward: -169.2507123536356
Episode 336, Goal reached at timestep: 61, States explored: 75, Total reward: -11.713576725307723
Episode 337, Goal reached at timestep: 684, States explored: 75, Total reward: -127.07648959771487
Episode 338, Goal reached at timestep: 130, States explored: 75, Total reward: -29.895456982377443
Episode 339, Goal reached at timestep: 639, States explored: 75, Total reward: -127.9093711217316
Episode 340, Goal reached at timestep: 174, States explored: 75, Total reward: -43.983451938629194
Episode 341, Goal reached at timestep: 260, States explored: 75, Total reward: -63.58084729280111
Episode 342, Goal reached at timestep: 174, States explored: 75, Total reward: -40.45618769102296
Episode 343, Goal reached at timestep: 255, States explored: 75, Total reward: -55.93719215868112
